項番,区分,診療行為名称,記載事項,コメントコード,表示文言,紙レセのみ,適用
132,Ｋ,麻酔マスイ,（伝達麻酔、浸潤麻酔等以外の医科点数表の取扱いによる麻酔を行った場合）麻酔の「その他」欄に麻酔名を記載。なお、使用麻酔薬は、麻酔薬名及び使用量を記載すること。オコナバアイキサイオヨキサイ,診療行為コード,（診療行為名を表示。）シンリョウコウイ,○,
133,Ｋ（通則）ツウソク,時間外加算休日加算深夜加算,（第１０部麻酔の通則「４」の規定により時間外加算（時間外加算の特例を含む。）、休日加算又は深夜加算を算定した場合）麻酔名及び加算の種類を記載すること。,診療行為コード,（診療行為名を表示。）メイ,○,
134,Ｋ（通知通則）ツウチツウソク,麻酔薬剤マスイヤクザイ,使用した酸素又は窒素、地方厚生（支）局長に届け出た購入単価（単位　銭）（酸素のみ）、当該請求に係る使用量（単位　リットル）を麻酔の「その他」欄に記載すること。なお、酸素の請求は、Ⅱの第３の２(20)のクの（イ）のｆと同様とする。チッソマスイホカラン,特定器材コード,（特定器材名を表示。）,○,※
135,Ｋ002,吸入鎮静法,使用麻酔薬は、麻酔の「その他」欄に麻酔薬名及び使用量を記載すること。また、使用した窒素請求は当該請求に係る使用量（単位　リットル）を記載。キサイ,医薬品コード,（医薬品名を表示。）,○,
136,Ｋ003,静脈内鎮静法,使用薬剤は、麻酔の「その他」欄に薬剤名及び使用量を記載すること。ヤクザイ,医薬品コード,（医薬品名を表示。）,○,
137,Ｋ005,歯科吸入麻酔又は歯科静脈麻酔(Ⅰ),使用薬剤は、麻酔の「その他」欄に薬剤名及び使用量を記載すること。,医薬品コード,（医薬品名を表示。）,○,※
138,Ｋ006,歯科吸入麻酔又は歯科静脈麻酔(Ⅱ),使用薬剤は、麻酔の「その他」欄に薬剤名及び使用量を記載すること。,医薬品コード,（医薬品名を表示。）,○,※
139,Ｋ100,薬剤（麻酔）ヤクザイマスイ,麻酔の「その他」欄に医薬品名を記載すること。マスイキサイ,医薬品コード,（医薬品名を表示。）,○,
140,Ｍ,歯冠修復及び欠損補綴オヨ,（歯冠修復物又は欠損補綴物の装着予定日から起算して１月以上患者が来院しない場合）「令和　年　月分」欄に製作月を、「診療実日数」欄に０を、「転帰」欄に中止を、「摘要」欄に未、装着物の種類、装着予定日及び装着できなくなった理由を記載すること。なお、「歯冠修復及び欠損補綴」欄の記載から当該装着物の種類が明らかに特定できる場合は、「摘要」欄への装着物の種類の記載を省略して差し支えない。（未来院請求後に患者が再び来院し、すでに未来院請求を行った歯冠修復物又は欠損補綴物を装着する場合の装着料及び装着材料料を算定する場合）未来院請求後及び装着物の種類を記載すること。なお、「歯冠修復及び欠損補綴」欄の記載から当該装着物の種類が明らかに特定できる場合は、「摘要」欄への装着物の種類の記載を省略して差し支えない。（有床義歯製作中であって、咬合採得後における試適前又はクラスプ等を有する咬合床を用いて咬合採得を行う前に、患者が理由なく来院しなくなった場合、患者の意志により治療を中止した場合又は患者が死亡した場合）装着物の種類及び装着（又は試適）予定日及び装着できなくなった理由を記載すること。なお、「歯冠修復及び欠損補綴」欄の記載から当該装着物の種類が明らかに特定できる場合は、「摘要」欄への装着物の種類の記載を省略して差し支えない。（歯冠修復及び欠損補綴に係る歯冠形成及び印象採得後において、偶発的な事故等を原因とする外傷による歯冠形成歯の喪失等やむを得ない場合）装着物の種類及び装着（又は試適）予定日及び装着できなくなった理由を記載すること。（欠損歯数と補綴歯数が一致しないため、算定点数が異なる場合）欠損歯数と補綴歯数の不一致と記載すること。（レジンインレー、高強度硬質レジンブリッジ又は熱可塑性樹脂有床義歯等、記載欄がない歯冠修復及び欠損補綴を算定する場合）歯冠修復及び欠損補綴の「その他」欄に装着物の種類及び部位を記載すること。なお、「傷病名部位」欄の記載から対象部位が明らかに特定できる場合は、部位の記載は省略して差し支えない。（クラウン・ブリッジ維持管理料について地方厚生（支）局長へ届け出た保険医療機関以外の保険医療機関において、歯冠補綴物又はブリッジを製作し当該補綴物を装着した場合）歯冠修復及び欠損補綴の「その他」欄に診療行為名を記載すること。（歯根分割を行った歯に歯冠修復物又は欠損補綴物を装着する場合）分割抜歯を行った部位を記載すること。バアレイワオヨキサイマタトウユウコウゴウユカモチコウゴウサイトクオコナマエホテツハスウソウチャクブツシュルイオコナオコナ,未来院請求コード「01」,（「オンライン又は光ディスク等による請求に係る記録条件仕様（歯科用）」の別表12に収載するコード）未来院請求,○,
141,Ｍ000,補綴時診断料,（補綴時診断料(有床義歯修理を実施した場合に限る。)を算定する場合）当該装置に係る当該診断料の前回実施年月日（初回である場合は初診月を除き初回である旨）を記載すること。ショシンツキノゾ,850190048,"補診前回実施年月日；（元号）yy""年""mm""月""dd""日""",,
142,Ｍ000,補綴時診断料注３　歯科技工士連携加算１注４　歯科技工士連携加算２,部位を記載すること。なお、「傷病名部位」欄の記載から補綴時診断の部位が明らかに特定できる場合は、記載を省略して差し支えない。ホテツジシンダン,830100968,補綴時診断の部位；******ホテツジシンダン,,※
143,Ｍ000-2,クラウン・ブリッジ維持管理料,装着日から２年を経過するまでの間に、やむを得ず再製作する場合は、算定の理由を記載すること。ヒ,830100996,再製作による算定の理由；******サイ,,
144,Ｍ001,歯冠形成　３　窩洞形成注9　う蝕歯無痛的窩洞形成加算チュウ,部位を記載すること。なお、「傷病名部位」欄の記載から当該治療部位が明らかに特定できる場合は、「摘要」欄への記載は省略して差し支えない。,830100412,う蝕無痛（ＫＰ）部位；******,,
145,Ｍ001-2,即時充填形成注１　う蝕歯無痛的窩洞形成加算チュウ,部位を記載すること。なお、「傷病名部位」欄の記載から当該治療部位が明らかに特定できる場合は、「摘要」欄への記載は省略して差し支えない。,830100413,う蝕無痛（充形）部位；******,,
146,Ｍ001-４,補綴前処置ホテツマエショチ,実施した前処置の内容を記載すること。キサイ,820101885,レストシート,,※
147,Ｍ002,支台築造,（ファイバーポストを用いた場合）歯冠修復及び欠損補綴の「その他」欄に部位、ファイバーポストの使用本数を部位毎にそれぞれ記載すること。,830100617,ファイバーポスト部位；******,,
148,Ｍ003,印象採得,（「印象」の項に書ききれない場合）歯冠修復及び欠損補綴の「その他」欄に印象採得の名称を記載すること。キサイ,診療行為コード,（診療行為名称を表示）メイショウ,○,
149,Ｍ003,印象採得注１　歯科技工士連携加算１注２　歯科技工士連携加算２チュウシカギコウシレンケイカサンチュウシカギコウシレンケイカサン,部位を記載すること。なお、「傷病名部位」欄の記載から印象採得の部位が明らかに特定できる場合は、記載を省略して差し支えない。ブイキサイショウビョウメイブイランキサイインショウサイトクブイアキトクテイバアイキサイショウリャクサツカ,830100893,印象採得部位；******インショウサイトクブイ,,
150,M003－2,暫間歯冠補綴装置,いずれに該当するかを記載すること。,820101888,イ　テンポラリークラウン又はリテーナー,,※
151,M003－4,光学印象注３　歯科技工士連携加算１注４　歯科技工士連携加算２コウガクインショウチュウシカギコウシレンケイカサンチュウシカギコウシレンケイカサン,部位を記載すること。なお、「傷病名部位」欄の記載から印象採得の部位が明らかに特定できる場合は、記載を省略して差し支えない。ブイキサイショウビョウメイブイランキサイインショウサイトクブイアキトクテイバアイキサイショウリャクサツカ,830100894,光学印象部位；******コウガクインショウブイ,,
152,M005,装着ソウチャク,（脱離した歯冠修復物又は、脱離又は修理したブリッジを再装着した場合）歯冠修復及び欠損補綴の「その他」欄に部位を記載すること。なお、再装着する歯冠修復物が１つ又は再装着する装置が１つであって、「傷病名部位」欄の記載から再装着した部位が明らかに特定できる場合は、記載を省略して差し支えない。マタサイソウチャクソウチ,830100414,再装着部位；******サイ,,
153,Ｍ006,咬合採得コウゴウサイトク,（「咬合」の項に書ききれない場合）歯冠修復及び欠損補綴の「その他」欄に咬合採得の名称を記載すること。キサイ,診療行為コード,（診療行為名称を表示）メイショウ,○,
154,Ｍ006,咬合採得注１　歯科技工士連携加算１注２　歯科技工士連携加算２コウゴウサイトクチュウシカギコウシレンケイカサンチュウシカギコウシレンケイカサン,部位を記載すること。なお、「傷病名部位」欄の記載から咬合採得の部位が明らかに特定できる場合は、記載を省略して差し支えない。ブイキサイショウビョウメイブイランキサイコウゴウサイトクブイアキトクテイバアイキサイショウリャクサツカ,830100895,咬合採得部位；******コウゴウサイトク,,
155,Ｍ00７,仮床試適注１　歯科技工士連携加算１注２　歯科技工士連携加算２カショウシテキチュウシカギコウシレンケイカサンチュウシカギコウシレンケイカサン,部位を記載すること。なお、「傷病名部位」欄の記載から仮床試摘の部位が明らかに特定できる場合は、記載を省略して差し支えない。ブイキサイショウビョウメイブイランキサイカショウシテキブイアキトクテイバアイキサイショウリャクサツカ,830100896,仮床試適部位；******カショウシテキブイ,,
156,Ｍ009,充填,（２歯以上の充填に際し１歯に複数窩洞の充填を行った場合）当該歯の部位を記載すること。,830100415,同一歯の複数窩洞に対する充填部位；******,,
157,Ｍ010,金属歯冠修復,（後継永久歯が先天的に欠如している乳歯に対して鋳造用金銀パラジウム合金を用いた金属歯冠修復を行った場合）永久歯代行と記載すること。,820100353,永久歯代行エイキュウシダイコウ,,
158,Ｍ010-3,接着冠セッチャクカン,歯冠修復及び欠損補綴の「その他」欄に当該支台歯の部位及び接着冠を記載すること。なお、当該ブリッジが1つであって、「傷病名部位」欄の記載から接着冠の部位が明らかに特定できる場合は、記載を省略して差し支えない。,830100422,接着冠部位；******,,
159,M011,レジン前装金属冠マエソウキンゾクカン,（後継永久歯が先天的に欠如している乳歯に対してレジン前装金属冠を用いた歯冠修復を行った場合）永久歯代行と記載すること。,820100353,永久歯代行エイキュウシダイコウ,,
160,Ｍ015,非金属歯冠修復２　硬質レジンジャケット冠ヒキンゾクシカンシュウフク,（歯科用金属を原因とする金属アレルギーを有する患者の大臼歯に用いた場合）紹介元保険医療機関名を記載すること。,830100418,硬ジ紹介元保険医療機関名；******,,
161,Ｍ015-2,ＣＡＤ／ＣＡＭ冠,（後継永久歯が先天的に欠如している乳歯に対してＣＡＤ／ＣＡＭ冠を用いた歯冠修復を行った場合）永久歯代行と記載すること。カン,820100353,永久歯代行エイキュウシダイコウ,,※
162,M015-3,ＣＡＤ／ＣＡＭインレー,（後継永久歯が先天的に欠如している乳臼歯に対してＣＡＤ／ＣＡＭインレーを用いた歯冠修復を行った場合）永久歯代行と記載すること。キュウシ,820100353,永久歯代行エイキュウシダイコウ,,※
163,Ｍ016-2,小児保隙装置１　固定式保隙装置,装置の種類を選択して記載すること。,820100782,クラウンループ,,
164,Ｍ016-2,小児保隙装置２　可撤式保隙装置   ショウニ,いずれに該当するかを記載すること。,820101893,イ　両側性の乳臼歯を早期喪失した場合バアイ,,※
165,Ｍ017,ポンティック,（地方厚生（支）局長に事前に模型等を提出した上でブリッジを製作した場合）事前承認と記載すること。ジゼンショウニン,820100355,事前承認ジゼンショウニン,,
166,M017-2,高強度硬質レジンブリッジ,（歯科用金属を原因とする金属アレルギーを有する患者の臼歯部１歯中間欠損に使用する場合）紹介元保険医療機関名を記載すること。,830100618,ＨＲＢｒ紹介元保険医療機関名；******,,
