項番,区分,診療行為名称,記載事項,コメントコード,表示文言,紙レセのみ,適用
13,Ａ002,再診料注13情報通信機器を用いた診療サイシンリョウチュウジョウホウツウシンキキモチシンリョウ,特に情報通信機器を用いた歯科診療が必要な患者の状態を選択して記載すること。なお、複数の状態に該当する場合は、該当する状態を全て記載すること。トクジョウホウツウシンキキモチシカシンリョウヒツヨウカンジャジョウタイセンタクキサイフクスウジョウタイガイトウバアイガイトウジョウタイスベキサイ,820101226,イ　新型インフルエンザ等感染症等の発生時であって、保険医療機関での対面での診療が困難な状況において、歯科診療を必要とする患者,,
14,Ｂ,医学管理等イガクカンリトウ,がん性疼痛緩和指導管理料、がん患者指導管理料、入院栄養食事指導料、外来緩和ケア管理料、外来リハビリテーション診療料、外来放射線照射診療料、外来腫瘍化学療法診療料、遺伝性疾患療養指導管理料、介護支援等連携指導料、がん治療連携計画策定料、がん治療連携指導料、がん治療連携管理料、こころの連携指導料（１） 、退院時共同指導料１、退院時共同指導料２、退院時薬剤情報管理指導料、がんゲノムプロファイリング評価提供料、傷病手当金意見書交付料及び医療機器安全管理料は、全体の「その他」欄に当該項目を記載すること。,302006410,がん性疼痛緩和指導管理料,○,
15,B000-4,歯科疾患管理料シカシッカンカンリリョウ,有床義歯に係る口腔管理のみを行った場合は、診療報酬明細書の摘要欄にその旨を記載する。ユウショウギシカカコウクウカンリオコナバアイシンリョウホウシュウメイサイショテキヨウランムネキサイ,820101879,有床義歯に係る口腔管理のみ,,※
16,B000-4,歯科疾患管理料注10　総合医療管理加算シカシッカンカンリリョウチュウソウゴウイリョウカンリカサン,主病に係る治療を行っている紹介元保険医療機関名を記載すること。,830100335,総合医療管理加算紹介元保険医療機関名；******,,
17,B000-5,周術期等口腔機能管理計画策定料１,（手術等を実施する保険医療機関からの文書による依頼に基づく場合）依頼元保険医療機関名を記載すること。,830100336,周計依頼元保険医療機関名；******,,
18,B000-5,周術期等口腔機能管理計画策定料２,（他の保険医療機関で策定した管理計画を修正した場合）変更前の管理計画書を策定した保険医療機関名を記載すること。,830100994,周計管理計画策定保険医療機関名；******シュウケイカンリケイカク,,※
19,Ｂ000-6Ｂ000-7,周術期等口腔機能管理料(Ⅰ)周術期等口腔機能管理料(Ⅱ）,手術の実施年月日又は予定年月日を記載すること。（「１　手術前」の算定がなく、「２　手術後」の算定がある場合）脳卒中等による緊急手術を実施した患者に対して術後早期に口腔機能管理の依頼を受けた旨を記載すること。ネンゲツネンゲツ,850100298,周１（手術後）手術等実施年月日；(元号)yy''年''mm''月''dd''日''シュウシュジュツゴ,,
20,Ｂ000-8,周術期等口腔機能管理料(Ⅲ),がん等に係る放射線治療又は化学療法の実施年月日又は予定年月日を記載すること。トウカカマタ,850100470,"放射線治療等実施年月日（周３）；（元号）yy""年""mm""月""dd""日""ジッシ",,
21,Ｂ000-9,周術期等口腔機能管理料(Ⅳ),がん等に係る放射線治療又は化学療法の実施年月日又は予定年月日を記載すること。,850190277,"放射線治療等実施年月日（周４）；（元号）yy""年""mm""月""dd""日""",,
22,Ｂ000-10,回復期等口腔機能管理計画策定料１カイフクキトウコウクウキノウカンリケイカクサクテイリョウ,（リハビリテーション等を実施する保険医療機関からの文書による依頼に基づく場合）依頼元保険医療機関名を記載すること。イライモトホケンイリョウキカンメイキサイ,830100875,回計依頼元保険医療機関名；******カイ,,
23,Ｂ000-10,回復期等口腔機能管理計画策定料２カイフクキトウコウクウキノウカンリケイカクサクテイリョウ,（他の保険医療機関で策定した管理計画を修正した場合）変更前の管理計画書を策定した保険医療機関名を記載すること。,830100995,回計管理計画策定保険医療機関名；******カイケイサクテイ,,※
24,Ｂ002,歯科特定疾患療養管理料注２　共同療養指導計画加算シカトクテイシッカンリョウヨウカンリリョウチュウ,共同療養指導計画の策定に関わった患者の主治医（区分番号Ｂ００２ 歯科特定疾患療養管理料の「注１」に規定する別に厚生労働大臣が定める疾患に係るものに限る。）の保険医療機関名を記載すること。,830100337,共計主治医の保険医療機関名；******,,
25,Ｂ003,特定薬剤治療管理料,全体の「その他」欄に初回の算定年月を記載すること。なお、４月目以降の特定薬剤治療管理料は、初回の算定年月の記載を省略して差し支えない。,850100307,"薬初回算定年月；（元号）yy""年""mm""月""",,
26,Ｂ004,悪性腫瘍特異物質治療管理料,実施した腫瘍マーカーの検査名を記載すること。ジッシ,830100338,悪性腫瘍特異物質治療管理料検査名；******,,
27,Ｂ004-6-2,歯科治療時医療管理料ジ,当該管理の対象となる医科の主病名を記載すること。,830100339,医管医科の主病名；******,,
28,Ｂ005,開放型病院共同指導料(Ⅰ),入院日を記載すること。ニュウイン,850100308,"開１入院年月日；（元号）yy""年""mm""月""dd""日""",,
29,Ｂ006-4,歯科遠隔連携診療料シカエンカクレンケイシンリョウリョウ,連携先の保険医療機関名を記載すること。レンケイサキホケンイリョウキカンメイキサイ,830100877,歯科遠隔連携診療料連携先保険医療機関名；******シカエンカクレンケイシンリョウリョウ,,
30,Ｂ007,退院前訪問指導料,（退院前訪問指導料を２回算定する場合）それぞれの訪問指導日を記載すること。タイインマエホウモンシドウリョウカイサンテイバアイホウモンシドウビキサイ,850100309,"退院前訪問指導年月日；（元号）yy""年""mm""月""dd""日""イン",,
31,Ｂ008,薬剤管理指導料１　特に安全管理が必要な医薬品が投薬又は注射されている患者に対して行う場合,指導日及び薬剤名を記載すること。オヨ,算定日情報,（算定日）,○,
32,Ｂ008,薬剤管理指導料２　１の患者以外の患者に対して行う場合バアイ,指導日を記載すること。,算定日情報,（算定日）,○,
33,Ｂ008,薬剤管理指導料注２　麻薬管理指導加算チュウカンリシドウ,指導日を記載すること。,850100310,"麻加指導年月日；（元号）yy""年""mm""月""dd""日""",,
34,Ｂ008-2,薬剤総合評価調整管理料,（当該保険医療機関及び他の保険医療機関で処方された内服薬を合計した種類数から２種類以上減少した場合）当該他の保険医療機関名及び各保険医療機関における調整前後の薬剤の種類数を記載すること。,842100062,薬剤総合評価調整管理料調整前後の種類数；******,,
35,Ｂ009,診療情報提供料（Ⅰ）,（保険医療機関以外の機関へ情報提供した場合）情報提供先を記載すること。,830100341,情１情報提供先；******,,
36,Ｂ009,診療情報提供料(Ⅰ)注５　退院患者の紹介加算チュウタイインカンジャショウカイカサン,退院日を記載すること。,850100311,"情１加１退院年月日；（元号）yy""年""mm""月""dd""日""",,
37,Ｂ009,診療情報提供料(Ⅰ)注８　検査・画像情報提供加算　イチュウケンサガゾウジョウホウテイキョウカサン,退院日を記載すること。,850100312,"検査・画像情報提供加算（退院患者の必要な情報を提供）退院年月日；（元号）yy""年""mm""月""dd""日""",,
38,Ｂ011,診療情報等連携共有料シンリョウジョウホウトウレンケイキョウユウリョウ,（診療情報等連携共有料１を算定する場合）連携先の保険医療機関名又は保険薬局名を記載すること。シンリョウジョウホウトウレンケイキョウユウリョウサンテイバアイレンケイサキホケンイリョウキカンメイマタホケンヤッキョクメイキサイ,830100342,診療情報等連携共有料連携先保険医療機関名；******トウ,,
39,B011-2,連携強化診療情報提供料,（妊娠中の場合）妊娠中である旨を記載すること。ニンシンチュウフチュウバアイニンシンチュウネンガツニチムネキサイ,820100579,妊娠中（連携強化診療情報提供料）チュウ,,
40,Ｂ011-4,退院時薬剤情報管理指導料,退院日を記載すること。,850100313,"退院時薬剤情報管理指導料退院年月日；（元号）yy""年""mm""月""dd""日""",,
41,Ｂ012,傷病手当金意見書交付料,全体の「その他」欄に交付年月日を記載すること。,850100089,"交付年月日（傷病手当金意見書交付料）；（元号）yy""年""mm""月""dd""日""",,
42,Ｂ013,新製有床義歯管理料,（「傷病名部位」欄に記載した欠損部位と装着部位が異なる場合）装着部位を記載すること。,830100343,義管装着部位；******タダシカンソウチャクブイ,,
43,Ｂ014,退院時共同指導料１,全体の「その他」欄に患者が入院している保険医療機関名を記載。なお、２回目の当該退院時共同指導料は、全体の「その他」欄に別に厚生労働大臣が定める疾病のうち、該当する病名を記載すること。なお、１回目の場合は１回目と記載すること。,830100344,退院時共同指導料１保険医療機関名；******,,
44,Ｂ015,退院時共同指導料２,全体の「その他」欄に当該指導を共同して行った保険医療機関名、共同指導に参画した者の職種及び指導年月日を記載すること。,830100346,退院時共同指導料２保険医療機関名；******,,
45,Ｃ000,歯科訪問診療料,訪問診療を行った日付、実施時刻（開始時刻と終了時刻）、訪問先名（記載例：自宅、○○マンション、介護老人保健施設××苑）及び患者の状態を記載すること。なお、「診療報酬の算定方法の一部改正に伴う実施上の留意事項について」別添２第２章第２部C０００歯科訪問診療料の（10）に該当し、歯科訪問診療２又は歯科訪問診療３を所定点数により算定した場合はその理由を記載すること。,853100010,"歯科訪問診療日及び開始時刻；dd""日""ｈｈ""時""ｍｍ""分""シカ",,
46,Ｃ000,歯科訪問診療料注８　患家診療時間加算注９  歯科診療特別対応加算注10　緊急歯科訪問診療加算、夜間歯科訪問診療加算又は深夜歯科訪問診療加算チュウチュウチュウ,（患家診療時間加算、歯科診療特別対応加算、緊急歯科訪問診療加算、夜間歯科訪問診療加算又は深夜歯科訪問診療加算がある場合）全体の「その他」欄に患家診療時間加算、歯科診療特別対応加算、緊急歯科訪問診療加算、夜間歯科訪問診療加算又は深夜歯科訪問診療加算である旨を記載すること。,CC001(303000370),患家診療時間加算（歯科訪問診療）,○,
47,Ｃ000,歯科訪問診療料注11　地域医療連携体制加算チュウ,地域医療連携体制加算である旨及び連携保険医療機関名を記載すること。オヨ,830100350,地域医療連携体制加算（歯科訪問診療料）連携保険医療機関名；******,,
48,Ｃ000,歯科訪問診療料注12　特別歯科訪問診療料シカホウモンシンリョウリョウチュウ,滞在時間（島に上陸したときから離島するまでの時間）を記載すること。シマジョウリクリトウジカン,CC013(303001570),滞在時間加算（１号地域）****分タイザイジカンカサンゴウチイキフン,○,
49,Ｃ000,歯科訪問診療料注18　歯科訪問診療移行加算シカホウモンシンリョウリョウチュウ,当該保険医療機関の外来を最後に受診した年月日を記載すること。トウガイホケンイリョウキカンネンガッピ,850100315,"歯科訪問診療移行加算外来最後受診年月日；（元号）yy""年""mm""月""dd""日""",,
50,Ｃ000,歯科訪問診療料注19　通信画像情報活用加算シカホウモンシンリョウリョウチュウツウシンガゾウジョウホウカツヨウカサン,歯科医師が口腔内を観察した際の訪問歯科衛生指導料（歯科衛生士等が行う場合）・、居宅療養管理指導費（歯科衛生士等が行う場合）又は介護予防居宅療養管理指導費（歯科衛生士等が行う場合）を算定した年月日を記載すること。シカイシコウクウナイカンサツサイホウモンシカエイセイシドウリョウシカエイセイシトウオコナバアイキョタクリョウヨウカンリシドウヒシカエイセイシトウオコナバアイマタカイゴヨボウキョタクリョウヨウカンリシドウヒシカエイセイシトウオコナバアイサンテイネンゲツヒキサイ,850100398,"訪問歯科衛生指導料（歯科衛生士等が行う場合）算定年月日；（元号）yy""年""mm""月""dd""日""",,
51,Ｃ001,訪問歯科衛生指導料,訪問歯科衛生指導を行った日付及び指導の実施時刻（開始時刻と終了時刻）を記載すること。,853100012,"訪問歯科衛生指導日及び開始時刻；dd""日""ｈｈ""時""ｍｍ""分""ビオヨ",,
52,Ｃ001-3,歯科疾患在宅療養管理料シカシッカンザイタクリョウヨウカンリリョウ,（指定居宅サービスに要する費用の額の算定に関する基準（平成12年厚生労働省告示19号）別表「５　居宅療養管理指導費」の「ロ　歯科医師が行う場合」又は指定介護予防サービスに要する費用の額の算定に関する基準（平成18年厚生労働省告示127号）別表「５　介護予防居宅療養管理指導費」　の「ロ　歯科医師が行う場合」を算定した場合）該当するものを選択し、算定年月日を記載すること。キョタクリョウヨウカンリシドウヒカイゴヨボウキョタクリョウヨウカンリシドウヒバアイガイトウセンタクネンガッピ,820100306,居宅療養管理指導費キョタクリョウヨウカンリシドウヒ,,
53,Ｃ001-3,歯科疾患在宅療養管理料注４　在宅総合医療管理加算注５　在宅歯科医療連携加算１注６　在宅歯科医療連携加算２チュウザイタクソウゴウイリョウカンリカサンチュウザイタクシカイリョウレンケイカサンチュウザイタクシカイリョウレンケイカサン,（在宅総合医療管理加算を算定した場合）在宅総合医療管理加算については、主病に係る治療を行っている紹介元保険医療機関名を記載すること。（在宅歯科医療連携加算１又は２を算定した場合）提供元の保険医療機関又は介護保険施設等の名称を記載すること。マタ,830100351,在歯総医紹介元保険医療機関名；******,,
54,Ｃ001-4-2,在宅患者歯科治療時医療管理料ジ,当該管理の対象となる医科の主病名を記載すること。,830100354,在歯管医科主病名；******,,
55,Ｃ001-5,在宅患者訪問口腔リハビリテーション指導管理料注６　在宅歯科医療連携加算１注７　在宅歯科医療連携加算２チュウザイタクシカイリョウレンケイカサンチュウザイタクシカイリョウレンケイカサン,当該管理の実施日及び実施時刻(開始時刻と終了時刻)を記載すること。（在宅歯科医療連携加算１又は２を算定した場合）提供元の保険医療機関又は介護保険施設等の名称を記載すること。ザイタクカイゴホケンシセツ,853100014,"訪問口腔リハ実施日及び開始時刻（在宅患者訪問口腔リハ）；dd""日""ｈｈ""時""ｍｍ""分""ジッシビオヨ",,
56,Ｃ001-6,小児在宅患者訪問口腔リハビリテーション指導管理料,当該管理の実施日及び実施時刻(開始時刻と終了時刻)を記載すること。（小児在宅歯科医療連携加算１又は２を算定した場合）提供元の保険医療機関又は障害児入所施設等の名称を記載すること。ショウニショウガイジニュウショ,853100016,"小訪問口腔リハ開始日時；dd""日""ｈｈ""時""ｍｍ""分""",,
57,C001-7,在宅歯科栄養サポートチーム等連携指導料,（在宅歯科栄養サポートチーム等連携指導料１を算定する場合）連携先の保険医療機関の名称及びカンファレンス等に参加した年月日を記載すること。ザイタクシカエイヨウトウレンケイシドウリョウサンテイバアイメイショウ,830100885,連携先保険医療機関名（在宅歯科栄養サポートチーム等連携指導料１）；******レンケイサキホケン,,
58,Ｃ007,在宅患者連携指導料,全体の「その他」欄に当該指導に係る情報共有先の保険医療機関名又は保険薬局名、訪問看護ステーション名及び当該指導を行った年月日を記載すること。,830100357,在宅患者連携指導料情報共有先保険医療機関名等；******,,
59,Ｃ008,在宅患者緊急時等カンファレンス料トウ,全体の「その他」欄に訪問先、当該カンファレンスに参加した保険医療機関名又は保険薬局名、訪問看護ステーション名、当該カンファレンスを行った日及び当該指導日を記載すること。,830100358,在宅患者緊急時等カンファレンス料訪問先；******,,
60,Ｄ,検査ケンサ,（記載欄が示されていない各種の検査を行った場合）Ｘ線・検査の「その他」欄に検査の名称を記載すること。オコナバアイケンサメイショウキサイ,診療行為コード,（診療行為名を表示。）,○,
61,D 002,歯周病検査シシュウビョウケンサ,（歯周病継続支援治療に規定する状態に該当しなくなったことにより、別の治療を行う必要がある場合）ＳＰＴ中断年月日を記載すること。,850100596,"ＳＰＴ中断年月日；（元号）yy""年""mm""月""dd""日""",,※
62,Ｄ002-5,歯周病部分的再評価検査シシュウビョウブブンテキサイヒョウカケンサ,Ｘ線・検査の「その他」欄に部位を記載すること。,830100360,Ｐ部検部位；******ブイ,,
63,Ｄ002-6,口腔細菌定量検査２コウクウサイキンテイリョウケンサ,前回の算定年月を記載すること。（初回である場合は初診月を除き初回である旨）を記載すること。ゼンカイネンゲツキサイ,850190250,"前回の算定年月（口腔細菌定量検査２）；（元号）yy""年""mm""月""ゼンカイ",,
64,Ｄ009,顎運動関連検査,実施した検査名として、Ｘ線・検査の「その他」欄にＭＭＧ、ＣｈＢ、ＧｏＡ、Ｐｔｇのうち該当するものを記載すること。,820100308,ＭＭＧ,,
65,Ｄ010,歯冠補綴時色調採得検査,それぞれの検査ごとに検査対象となった歯冠補綴物の部位を記載すること。なお、「傷病名部位」欄の記載から当該検査を行った部位が明らかに特定できる場合は、記載を省略して差し支えない。ショウビョウメイブイランキサイトウガイケンサオコナブイアキトクテイバアイキサイショウリャクサツカ,830100362,歯冠補綴時色調採得検査部位；******ブイ,,
66,Ｄ011,有床義歯咀嚼機能検査,有床義歯咀嚼機能検査を開始する時に、「診療報酬の算定方法の一部改正に伴う実施上の留意事項について」別添２第２章第１部D011有床義歯咀嚼機能検査の（９）のイからホまでのうち該当するものを選択して記載すること。,820100770,イ　総義歯又は９歯以上の局部義歯を装着する場合バアイ,,
67,Ｄ011-2,咀嚼能力検査１ソシャクノウリョクケンサ,前回の算定年月（初回である場合は初診月を除き初回である旨）を記載すること。ゼンカイネンゲツ,850190251,"前回の算定年月（咀嚼能力検査１）；（元号）yy""年""mm""月""ゼンカイ",,
68,Ｄ011-2,咀嚼能力検査２ソシャクノウリョクケンサ,手術前である旨又は手術後の直近の算定年月を記載すること。シュジュツマエムネマタシュジュツゴチョッキンネンゲツキサイ,850190252,"手術後の直近の算定年月（咀嚼能力検査２）；（元号）yy""年""mm""月""シュジュツゴチョッキン",,
69,Ｄ011-3,咬合圧検査１コウゴウアツケンサ,前回の算定年月（初回である場合は初診月を除き初回である旨）を記載すること。ゼンカイネンゲツ,850190253,"前回の算定年月（咬合圧検査１）；（元号）yy""年""mm""月""ゼンカイ",,
70,Ｄ011-3,咬合圧検査２コウゴウアツケンサ,手術前である旨又は手術後の直近の算定年月を記載すること。シュジュツマエムネマタシュジュツゴチョッキンネンゲツキサイ,850190254,"手術後の直近の算定年月（咬合圧検査２）；（元号）yy""年""mm""月""シュジュツゴチョッキン",,
71,Ｄ011-5,口腔粘膜湿潤度検査コウクウネンマクシツジュンドケンサ,前回の算定年月（初回である場合は初診月を除き初回である旨）を記載すること。ゼンカイネンゲツ,850100597,"前回の算定年月（口腔粘膜湿潤度検査）；（元号）yy""年""mm""月""ゼンカイコウクウネンマクシツジュンド",,※
72,Ｄ012,舌圧検査ゼツアツケンサ,舌圧検査に当たって、該当する患者の状態を選択して記載すること。ゼツアツケンサアガイトウカンジャジョウタイセンタクキサイ,820100318,口腔機能の低下が疑われる場合コウクウキノウテイカウタガバアイ,,
73,Ｄ100,薬剤（検査）ヤクザイケンサ,（検査に当たって薬剤を使用した場合）薬剤名及び使用量を記載すること。,医薬品コード,（医薬品名を表示。）,○,
74,Ｅ,画像診断ガゾウシンダン,（標準型以外のフィルムを使用して撮影（アナログ撮影）を行った場合）Ｘ線・検査の「その他」欄に使用フィルムの種類を記載すること。（新生児、３歳未満の乳幼児又は３歳以上６歳未満の幼児に対する加算を算定した場合）「Ｘ線・検査」欄のそれぞれの項の記載要領にかかわらずＸ線・検査の「その他」欄に画像診断の種類を記載すること。（標準型以外のフィルムを使用して撮影（アナログ撮影）を行った場合、全顎撮影（デジタル撮影）、歯科エックス線撮影の全顎撮影以外（デジタル撮影）、歯科パノラマ断層撮影（デジタル撮影）、歯科用３次元エックス線断層撮影及び歯科部分パノラマ断層撮影以外の画像診断を行った場合）Ｘ線・検査の「その他」欄に画像診断の種類を記載すること。キサイランコウキサイヨウリョウキサイオヨイガイガゾウシンダンオコナバアイキサイ,診療行為コード,（診療行為名を表示。）,○,
75,Ｅ（通則）,時間外緊急院内画像診断加算,撮影開始日時を記載すること。,853100018,"時間外緊急院内画像診断加算撮影開始日時（時間外緊急院内画像診断加算）；dd""日""ｈｈ""時""ｍｍ""分""ニチジ",,
76,Ｅ200,基本的エックス線診断料,Ｘ線・検査の「その他」欄に入院日数及び点数を次の例により記載すること。〔記載例〕「基エ」　(１５日)　　８２５,830100363,基エ（４週以内）；******,,
77,Ｅ301,造影剤ゾウエイザイ,（画像診断に当たって薬剤を使用した場合）薬剤名及び使用量を記載すること。,医薬品コード,（医薬品名を表示。）,○,
78,Ｆ,投薬トウヤク,使用薬剤の医薬品名、規格・単位（％、ｍL又はｍｇ等）及び使用量を記載。ただし、届出保険医療機関は、薬剤料に掲げる所定単位の薬価が175円以下の場合は、使用薬剤の医薬品名・使用量等の記載は不要とする。なお、複数の規格単位のある薬剤について最も小さい規格単位を使用する場合は、規格単位は省略して差し支えない。,医薬品コード,（医薬品名を表示。）,○,
79,Ｆ400,処方箋料リョウ,（万一緊急やむを得ない事態が生じ、同一の患者に対して、同一診療日に一部の薬剤を院内において投薬し他の薬剤を院外処方箋により投薬した場合）日付及び理由を記載すること。,850100331,"同日に院内処方及び処方箋による投薬を行った診療年月日；（元号）yy""年""mm""月""dd""日""ネンゲツ",,
80,Ｇ,注射チュウシャ,（皮内、皮下及び筋肉内注射又は静脈内注射のその他の注射を行った場合）全体の「その他」欄に注射の種類、その内訳は、「摘要」欄に注射の種別、所定単位当たりの使用薬剤の薬名、使用量及び回数等を記載すること。（その他の注射を行った場合）全体の「その他」欄に注射の種類、その内訳は、「摘要」欄に注射の種別、所定単位当たりの使用薬剤の薬名、使用量及び回数等を記載すること。,診療行為コード,（診療行為名を表示。）メイ,○,
81,Ｇ004,点滴注射注３　血漿成分製剤加算チュウ,１回目の注射の実施日を記載すること。,850100332,"血漿（点滴）１回目実施年月日；（元号）yy""年""mm""月""dd""日""ネンゲツ",,
82,Ｇ005,中心静脈注射注１　血漿成分製剤加算チュウ,１回目の注射の実施日を記載すること。,850100333,"血漿（中心静脈注射）１回目実施年月日；（元号）yy""年""mm""月""dd""日""ネンゲツ",,
83,Ｇ100,薬剤（注射）ヤクザイチュウシャ,使用薬剤の医薬品名、規格・単位（％、ｍL又はｍｇ等）及び使用量を記載すること。ただし、届出保険医療機関は、注射のうち皮内、皮下及び筋肉内注射又は静脈注射であって入院中の患者以外の患者に対するものにあっては１回当たりの、それ以外の注射にあっては１日当たりの薬価がそれぞれ175円以下の場合は、使用薬剤の医薬品名・使用量等の記載は不要とする。なお、複数の規格単位のある薬剤について最も小さい規格単位を使用する場合は、規格単位は省略して差し支えない。（注射の手技料を包括する点数を算定するに当たって、併せて当該注射に係る薬剤料を算定する場合）「投薬・注射」欄及び「摘要」欄に同様に記載すること。,医薬品コード,（医薬品名を表示。）,○,
84,Ｈ,リハビリテーション,（「制限回数を超えて行う診療」に係るリハビリテーションを行った場合）次の例により、当該「制限回数を超えて行う診療」の名称、徴収した特別の料金及び回数を他のリハビリテーションと区別して記載すること。〔記載例〕脳血管疾患等リハビリテーション料（Ⅱ）イ　２００×１８実施日数３日（リハ選）脳血管疾患等リハビリテーション料　２，０００円×１オコナバアイ,830100372,リハ選；******,,
85,Ｈ001,摂食機能療法,摂食機能療法の実施日、実施時刻（開始時刻と終了時刻）等を記載すること。,853100019,"摂食機能療法開始日時（摂食機能療法）；dd""日""ｈｈ""時""ｍｍ""分""",,
86,Ｈ001,摂食機能療法注３ 摂食嚥下機能回復体制加算チュウ,連携している医師名を記載すること。レンケイ,830100373,摂食嚥下機能回復体制加算（摂食機能療法）連携医師名；******,,
87,Ｉ,処置ショチ,（該当する記載欄を設けていない場合及び該当欄に記載しきれない場合）処置・手術の「その他」欄に当該処置の名称を記載すること。メイショウキサイ,診療行為コード,（診療行為名を表示。）,○,
88,Ｉ（通則）ツウソク,時間外加算休日加算深夜加算,（第８部処置の通則「６」の規定により時間外加算（時間外加算の特例を含む。）、休日加算又は深夜加算を算定した場合）処置・手術の「その他」欄に処置名及び加算の種類を記載すること。,診療行為コード,（診療行為名を表示。）,○,
89,Ｉ（通則）ツウソク,乳幼児加算ニュウヨウジカサン,（当月中に６歳を迎え、加算した点数と加算しない点数が混在する場合）記載欄に加算した点数及び回数を記載し、処置・手術の「その他」欄に加算しない点数及び回数を名称を付して記載して差し支えない。サツカ,診療行為コード,（診療行為名を表示。）,○,
90,Ｉ000-2,咬合調整,「診療報酬の算定方法の一部改正に伴う実施上の留意事項について」別添２第２章第8部Ｉ000-2咬合調整の(１)のイからハまでのいずれに該当するかを記載すること。,820100910,イ　一次性咬合性外傷の場合,,
91,Ｉ006,感染根管処置,（抜歯を前提として急性症状の消退を図ることを目的として根管拡大を行った場合）処置・手術の「その他」欄に部位を記載すること。なお、「傷病名部位」の記載から当該処置を行った部位が明らかに特定できる場合は、処置・手術の「その他」欄への部位の記載を省略して差し支えない。,830100376,抜歯前提の消炎目的の根管拡大部位；******ブイ,,
92,Ｉ007,根管貼薬処置,（同一歯に対して初回の根管貼薬処置を実施した日の属する月から起算して６月を超えて治療を継続して処置を行う場合）当該歯の状態及び初回の根管貼薬処置を行った年月を記載すること。,830100377,根貼実施部位の状態；******,,
93,I008,根管充填コンカンジュウテン,（暫間根管充填又は暫間根管充填後に根管充填を行う場合）暫間根管充填又は暫間根管充填後に根管充填を行う旨を記載すること。,820100329,暫間根充ザンカンネ,,
94,Ｉ008-2,加圧根管充填処置,（加圧根管充填後の歯科エックス線撮影において、妊娠中であり、エックス線撮影に同意が得られない場合）妊娠中であり、エックス線撮影に同意が得られない旨を記載すること。,820100390,妊娠中（加圧根管充填処置）ニンシンチュウカアツコンカンジュウテンショチ,,
95,Ｉ008-2,加圧根管充填処置注３　手術用顕微鏡加算チュウ,（手術用顕微鏡加算において、連携する保険医療機関にて歯科用３次元エックス線断層撮影を撮影した場合）撮影した保険医療機関名を記載すること。ホケンホケン,830100379,手術用顕微鏡加算（加圧根管充填処置）撮影保険医療機関名；******ホケン,,
96,Ｉ009-7,ハイフローセラピー,動脈血酸素分圧又は経皮的酸素飽和度の測定結果を記載する。,830100251,動脈血酸素分圧又は経皮的酸素飽和度測定結果（ハイフローセラピー）；,,
97,Ｉ010,歯周病処置シシュウシッペイショチ,処置・手術の「その他」欄に部位及び使用した薬剤の名称を記載すること。なお、特定薬剤を算定した場合は、部位のみを記載すること。,830100380,Ｐ処部位；******,,
98,Ｉ011-2,歯周病継続支援治療ケイゾクシエン,前回の歯周病継続支援治療の実施年月（初回である場合は初診月を除き初回である旨）を記載すること。ケイゾクシエンジッシショシンツキノゾ,850100337,"ＳＰＴ前回実施年月；（元号）yy""年""mm""月""",,
99,Ｉ011-2,重症化予防連携強化加算ジュウショウカヨボウレンケイキョウカカサン,（糖尿病の病態によって歯周病の重症化を引き起こすおそれのある患者に対して、歯周病継続支援安定期治療を実施し、他の保険医療機関の主治の医師に治療した内容、今後の治療方針等について情報提供を行った場合）初回の年月日及び紹介元保険医療機関名を記載。ビョウケイゾクシエンアンテイキチリョウジッシホケン,850190272,"ＳＰＴ初回年月日；（元号）yy""年""mm""月""dd""日""",,
100,Ｉ014,暫間固定ザンカンコテイ,固定を行った部位（固定源となる歯を含めない。）及びその方法を記載し、暫間固定の前回実施年月日（１回目の場合は1回目と記載する。）及び歯周外科手術の予定の有無を記載すること。なお、歯周外科手術後の暫間固定を行う場合については、歯周外科手術の予定に関する記載は不要であり、手術後１回目の場合は術後1回目と記載し、２回目以降は前回実施年月日を記載する。コテイオコナブイオヨホウホウキサイザンカンコテイゼンカイジッシネンガッピカイメバアイカイメキサイオヨシシュウゲカシュジュツヨテイウムキサイシシュウゲカシュジュツゴザンカンコテイオコナバアイシシュウゲカシュジュツヨテイカンキサイフヨウシュジュツゴカイメバアイジュツゴカイメキサイカイメイコウゼンカイジッシネンガッピキサイ,830100383,暫間固定部位；******,,
101,Ｉ017,口腔内装置コウクウナイソウチ,「診療報酬の算定方法の一部改正に伴う実施上の留意事項について」別添２第２章第８部Ｉ017口腔内装置の（１）のイからルまでに規定するものの中から該当するものを記載すること。なお、トを選択した場合は手術の予定日及び手術を行う保険医療機関名を記載すること。コウクウナイソウチセンタクバアイキサイ,820100339,イ　顎関節治療用装置,,
102,Ｉ017-1-2,睡眠時無呼吸症候群に対する口腔内装置タイ,紹介元保険医療機関名を記載すること。（医科歯科併設の病院であって院内紹介を受けた場合は、院内紹介元の担当科名を記載。）インナイショウカイウ,830100385,睡眠時無呼吸症候群に対する口腔内装置紹介元保険医療機関名；******,,
103,I017-1-3,舌接触補助床シタセッショクホジョユカ,（舌接触補助床の装着予定日から起算して１月以上患者が来院しない場合）「令和　年　月分」欄に製作月を、「診療実日数」欄に０を、「転帰」欄に中止を、「摘要」欄に装着物の種類、装着予定年月日及び装着できなくなった理由を記載すること。,830100404,未来院請求　装着物の種類；******,,
